Name,Telescope,Classification,RA,DEC,Redshift,u_redshift,"DM_MW,ISM",DM_obs,u_obs,Reference,Observation
FRB 20240210A,CRAFT,NON_REPEAT,00:39:55.040,-27:39:34.78,0.023686,,31,283.73,0.05,arXiv:2408.02083,
FRB 20240213A,DSA-110,NON_REPEAT,10:35:02.703,71:46:31.29,0.1185,,40.1,357.4,,arXiv:2409.16952  ,
FRB 20240215A ,DSA-110,NON_REPEAT,17:53:43.990,71:39:14.28,0.21,,48.0,549.5,,arXiv:2409.16952  ,
FRB 20240229A,DSA-110,NON_REPEAT,11:34:56.311,71:47:01.68,0.2870,,37.9,491.15,,arXiv:2409.16952  ,The redshift is photometric.
FRB 20240310A,CRAFT,NON_REPEAT,01:10:57.700,-44:24:05.24,0.1270,,36,601.8,0.2,arXiv:2408.02083,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Legend: ,,,,,,,,,,,
We use in some paper,,,,,,,,,,,
We can not use ,,,,,,,,,,,
Testing,,,,,,,,,,,
I haven't tested yet,,,,,,,,,,,
